Title,Artist,First Charted,Top position,Weeks on chart,Lyrics
Whatcha Say,Jason DeRulo ,2009-08-29,1,15,
Hot Mess,Cobra Starship ,2009-08-29,64,5,
Evacuate The Dancefloor,Cascada ,2009-08-29,25,26,
Need You Now,Lady Antebellum ,2009-08-29,2,60,
Radar,Britney Spears ,2009-08-29,88,3,
Gettin' You Home (The Black Dress Song),Chris Young ,2009-08-29,33,18,
Daylight,Matt & Kim ,2009-08-29,95,2,
Empire State Of Mind,Jay-Z + Alicia Keys ,2009-10-03,1,30,
Paparazzi,Lady Gaga ,2009-10-03,6,27,
Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem ",2009-10-03,8,24,
Successful,Drake Featuring Trey Songz & Lil Wayne ,2009-10-03,17,11,
Say Hey (I Love You),Michael Franti & Spearhead Featuring Cherine Anderson ,2009-10-03,18,16,
I'm Going In,Drake Featuring Lil Wayne & Young Jeezy ,2009-10-03,40,17,
Young Forever,Jay-Z + Mr. Hudson ,2009-10-03,10,25,
Fireflies,Owl City ,2009-10-03,1,31,
Happy,Leona Lewis ,2009-10-03,31,9,
Wasted,Gucci Mane Featuring Plies Or OJ Da Juiceman ,2009-10-03,36,18,
Sexy Chick,David Guetta Featuring Akon ,2009-10-03,5,35,
Pursuit Of Happiness (Nightmare),Kid Cudi Featuring MGMT & Ratatat ,2009-10-03,59,3,
La La La,LMFAO ,2009-10-03,55,7,
LOL :-),Trey Songz Featuring Gucci Mane & Soulja Boy Tell'em ,2009-10-03,51,8,
Drop It Low,Ester Dean Featuring Chris Brown ,2009-10-03,38,17,
I'm Alive,Kenny Chesney With Dave Matthews ,2009-10-03,32,16,
I Want To Know What Love Is,Mariah Carey ,2009-10-03,60,6,
I Will Not Bow,Breaking Benjamin ,2009-10-03,40,20,
Replay,Iyaz ,2009-10-03,2,34,
Do I,Luke Bryan ,2009-10-03,34,20,
Meet Me Halfway,The Black Eyed Peas ,2009-10-03,7,24,
The Fixer,Pearl Jam ,2009-10-03,56,7,
Under,Pleasure P ,2009-10-03,78,10,
Starstrukk,3OH!3 Featuring Katy Perry ,2009-10-03,66,11,
Number One,R. Kelly Featuring Keri Hilson ,2009-10-03,59,11,
Runaway,Love And Theft ,2009-10-03,65,11,
Break,Three Days Grace ,2009-10-03,73,20,
We Weren't Born To Follow,Bon Jovi ,2009-10-03,68,4,
Falling Down,Selena Gomez & The Scene ,2009-10-03,82,7,
Fifteen,Taylor Swift ,2009-10-03,23,21,
I Wanna,The All-American Rejects ,2009-10-03,92,2,
Cowboy Casanova,Carrie Underwood ,2009-10-03,11,20,
Check My Brain,Alice In Chains ,2009-10-03,92,4,
Doesn't Mean Anything,Alicia Keys ,2009-10-10,60,10,
Face Drop,Sean Kingston ,2009-10-10,61,9,
Taking Chances,Glee Cast ,2009-10-10,71,1,
Somebody To Love,Glee Cast ,2009-10-10,28,4,
Red Light,David Nail ,2009-10-10,54,16,
Bad Habits,Maxwell ,2009-10-10,71,14,
Funhouse,Pink ,2009-10-10,44,11,
Bonfire,Craig Morgan ,2009-10-10,57,14,
Alone,Glee Cast ,2009-10-17,51,1,
Wheels,Foo Fighters ,2009-10-17,72,10,
Don't Stop Believin',Glee Cast ,2009-10-17,4,7,
Careful,Paramore ,2009-10-17,78,1,
Maybe This Time,Glee Cast ,2009-10-17,88,1,
Live Like We're Dying,Kris Allen ,2009-10-17,18,29,
I Wanna Make You Close Your Eyes,Dierks Bentley ,2009-10-17,52,20,
Consider Me Gone,Reba ,2009-10-17,38,19,
"Hey, Soul Sister",Train ,2009-10-17,3,54,
Regret,LeToya Featuring Ludacris ,2009-10-17,78,8,
3,Britney Spears ,2009-10-24,1,20,
One Less Lonely Girl,Justin Bieber ,2009-10-24,16,16,
It's My Life / Confessions Part II,Glee Cast ,2009-10-24,30,2,
Halo / Walking On Sunshine,Glee Cast ,2009-10-24,40,2,
I Can Transform Ya,Chris Brown Featuring Lil Wayne & Swizz Beatz ,2009-10-24,20,19,
Hell Of A Life,T.I. ,2009-10-24,54,2,
All The Right Moves,OneRepublic ,2009-10-24,18,34,
Body Language,Jesse McCartney Featuring T-Pain ,2009-10-24,35,15,
TiK ToK,Ke$ha ,2009-10-24,1,38,
Haven't Met You Yet,Michael Buble ,2009-10-24,24,44,
Rain,Creed ,2009-10-24,91,3,
Honky Tonk Stomp,Brooks & Dunn Featuring Billy Gibbons ,2009-10-24,96,3,
Shots,LMFAO Featuring Lil Jon ,2009-10-24,68,18,
Money To Blow,Birdman Featuring Lil Wayne & Drake ,2009-10-24,26,20,
Bad Romance,Lady Gaga ,2010-01-02,2,35,
Whatcha Say,Jason Derulo ,2010-01-02,4,17,
Hard,Rihanna Featuring Jeezy ,2010-01-02,8,20,
BedRock,Young Money Featuring Lloyd ,2010-01-02,2,23,
How Low,Ludacris ,2010-01-02,6,21,
Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon ,2010-01-02,10,20,
Two Is Better Than One,Boys Like Girls Featuring Taylor Swift ,2010-01-02,18,21,
Try Sleeping With A Broken Heart,Alicia Keys ,2010-01-02,27,20,
Hell Breaks Loose,Eminem Featuring Dr. Dre ,2010-01-02,29,1,
Tie Me Down,New Boyz Feat. Ray J ,2010-01-02,26,6,
Say Aah,Trey Songz Featuring Fabolous ,2010-01-02,9,27,
Gangsta Luv,Snoop Dogg Featuring The-Dream ,2010-01-02,35,19,
Baby By Me,50 Cent Featuring Ne-Yo ,2010-01-02,28,13,
Telephone,Lady Gaga Featuring Beyonce ,2010-01-02,3,33,
Give It Up To Me,Shakira Featuring Lil Wayne ,2010-01-02,29,11,
According To You,Orianthi ,2010-01-02,17,21,
I Invented Sex,Trey Songz Featuring Drake ,2010-01-02,42,20,
If You Only Knew,Shinedown ,2010-01-02,42,20,
The Truth,Jason Aldean ,2010-01-02,40,20,
It Kills Me,Melanie Fiona ,2010-01-02,43,20,
Southern Voice,Tim McGraw ,2010-01-02,49,18,
Spotlight,Gucci Mane Featuring Usher ,2010-01-02,42,16,
White Liar,Miranda Lambert ,2010-01-02,38,20,
Russian Roulette,Rihanna ,2010-01-02,9,14,
Empire State Of Mind (Part II) Broken Down,Alicia Keys ,2010-01-02,55,1,
Life After You,Daughtry ,2010-01-02,36,20,
Carry Out,Timbaland Featuring Justin Timberlake ,2010-01-02,11,26,
Papers,Usher ,2010-01-02,31,16,
Never Gonna Be Alone,Nickelback ,2010-01-02,58,17,
Why Don't We Just Dance,Josh Turner ,2010-01-02,35,20,
I Am,Mary J. Blige ,2010-01-02,55,20,
History In The Making,Darius Rucker ,2010-01-02,61,20,
Elevator,Eminem ,2010-01-02,67,1,
Crawl,Chris Brown ,2010-01-02,53,9,
Shut It Down,Pitbull Featuring Akon ,2010-01-02,42,14,
In My Head,Jason Derulo ,2010-01-02,5,34,
Whataya Want From Me,Adam Lambert ,2010-01-02,10,30,
Eight Second Ride,Jake Owen ,2010-01-02,70,13,
Someday,Rob Thomas ,2010-01-02,59,22,
I Wanna Rock,Snoop Dogg ,2010-01-02,41,15,
Sex Therapy,Robin Thicke ,2010-01-02,54,19,
On Fire,Lil Wayne ,2010-01-02,62,2,
Heartbreak Warfare,John Mayer ,2010-01-02,34,20,
American Saturday Night,Brad Paisley ,2010-01-02,67,15,
That's How Country Boys Roll,Billy Currington ,2010-01-02,57,20,
Cryin' For Me (Wayman's Song),Toby Keith ,2010-01-02,73,12,
Breakeven,The Script ,2010-01-02,12,43,
1901,Phoenix ,2010-01-02,84,13,
Halfway Gone,Lifehouse ,2010-01-02,50,20,
Hey Daddy (Daddy's Home),Usher Featuring Plies ,2010-01-02,24,21,
(If You're Wondering If I Want You To) I Want You To,Weezer ,2010-01-02,81,9,
Kings And Queens,Thirty Seconds To Mars ,2010-01-02,82,3,
I Get It In,Omarion Featuring Gucci Mane ,2010-01-02,83,6,
Video Phone,Beyonce ,2010-01-02,81,4,
Naturally,Selena Gomez & The Scene ,2010-01-09,29,21,
Steady Mobbin',Young Money Featuring Gucci Mane ,2010-01-09,48,20,
Hillbilly Bone,Blake Shelton Featuring Trace Adkins ,2010-01-09,40,20,
Vanilla Twilight,Owl City ,2010-01-09,72,5,
Music Box,Eminem ,2010-01-09,82,1,
Love Me,Justin Bieber ,2010-01-09,37,4,
American Honey,Lady Antebellum ,2010-01-09,25,20,
Drop The World,Lil Wayne Featuring Eminem ,2010-01-16,18,20,
Temporary Home,Carrie Underwood ,2010-01-16,41,20,
Blah Blah Blah,Ke$ha Featuring 3OH!3 ,2010-01-23,7,20,
Your Love Is My Drug,Ke$ha ,2010-01-23,4,28,
Tie Me Down,New Boyz Featuring Ray J ,2010-01-23,22,20,
Take It Off,Ke$ha ,2010-01-23,8,20,
Love This Pain,Lady Antebellum ,2010-01-23,93,1,
Say Something,Timbaland Featuring Drake ,2010-01-23,23,20,
A Little More Country Than That,Easton Corbin ,2010-01-23,42,20,
Break Your Heart,Taio Cruz Featuring Ludacris ,2010-03-20,1,29,
Rude Boy,Rihanna ,2010-03-20,1,22,
Baby,Justin Bieber Featuring Ludacris ,2010-03-20,5,20,
Nothin' On You,B.o.B Featuring Bruno Mars ,2010-03-20,1,28,
Never Let You Go,Justin Bieber ,2010-03-20,21,2,
Today Was A Fairytale,Taylor Swift ,2010-03-20,2,18,
Ridin' Solo,Jason Derulo ,2010-03-20,9,28,
On To The Next One,Jay-Z + Swizz Beatz ,2010-03-20,37,14,
Lil Freak,Usher Featuring Nicki Minaj ,2010-03-20,40,16,
My Chick Bad,Ludacris Featuring Nicki Minaj ,2010-03-20,11,20,
All The Way Turnt Up,Roscoe Dash Featuring Soulja Boy Tell'em ,2010-03-20,46,12,
I Made It (Cash Money Heroes),"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne ",2010-03-20,21,20,
Highway 20 Ride,Zac Brown Band ,2010-03-20,40,20,
Lemonade,Gucci Mane ,2010-03-20,53,12,
Everything To Me,Monica ,2010-03-20,44,18,
'Til Summer Comes Around,Keith Urban ,2010-03-20,58,16,
Solo,Iyaz ,2010-03-20,32,18,
We Are The World 25: For Haiti,Artists For Haiti ,2010-03-20,2,5,
Unstoppable,Rascal Flatts ,2010-03-20,52,18,
Let It Be,Kris Allen ,2010-03-20,63,2,
Alice,Avril Lavigne ,2010-03-20,71,3,
Neighbors Know My Name,Trey Songz ,2010-03-20,43,20,
Ain't Back Yet,Kenny Chesney ,2010-03-20,50,13,
Cryin' Like A Bitch,Godsmack ,2010-03-20,74,3,
Soldier Of Love,Sade ,2010-03-20,52,11,
Feel It,Three 6 Mafia Vs. Tiesto With Sean Kingston & Flo Rida ,2010-03-20,78,2,
O Let's Do It,Waka Flocka Flame ,2010-03-20,62,11,
When I Look At You,Miley Cyrus ,2010-03-20,16,13,
My Best Days Are Ahead Of Me,Danny Gokey ,2010-03-20,82,1,
Gimmie That Girl,Joe Nichols ,2010-03-20,34,20,
"Women Lie, Men Lie",Yo Gotti Featuring Lil Wayne ,2010-03-20,81,7,
Follow Me Down,3OH!3 Featuring Neon Hitch ,2010-03-20,89,2,
All I Do Is Win,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross ",2010-03-20,24,24,
Bulletproof,La Roux ,2010-03-20,8,27,
One Day,Matisyahu ,2010-03-20,85,6,
Just Breathe,Pearl Jam ,2010-03-20,78,14,
Backwoods,Justin Moore ,2010-03-20,69,13,
Knockout,Lil Wayne Featuring Nicki Minaj ,2010-03-20,44,5,
The Man I Want To Be,Chris Young ,2010-03-20,48,20,
Keep On Lovin' You,Steel Magnolia ,2010-03-20,68,15,
Hell On The Heart,Eric Church ,2010-03-20,67,12,
Hero,Christopher Wilde ,2010-03-06,57,1,
Pants On The Ground,General Larry Platt ,2010-03-06,46,3,
Hallelujah (Vancouver Winter 2010 Version),k.d. lang ,2010-03-06,61,1,
There Goes My Baby,Usher ,2010-03-06,25,25,
StarStruck,Christopher Wilde ,2010-03-06,77,1,
Something About The Sunshine,Christopher Wilde & Anna Margaret ,2010-03-06,81,1,
"Beamer, Benz, Or Bentley",Lloyd Banks Featuring Juelz Santana ,2010-03-06,49,16,
Up Out My Face,Mariah Carey Featuring Nicki Minaj ,2010-03-06,100,1,
Didn't You Know How Much I Loved You,Kellie Pickler ,2010-03-13,97,2,
Over,Drake ,2010-03-27,14,20,
Driving Me Crazy,Sam Adams ,2010-03-27,90,1,
Ooh Baby,Mario ,2010-03-27,95,1,
OMG,Usher Featuring will.i.am ,2010-05-08,1,30,
Airplanes,B.o.B Featuring Hayley Williams Of Paramore ,2010-05-08,9,2,
Alejandro,Lady Gaga ,2010-05-08,5,23,
Eenie Meenie,Sean Kingston & Justin Bieber ,2010-05-08,15,18,
Like A Prayer,"Glee Cast Featuring Lea Michele, Jonathan Groff, Cory Monteith, Chris Colfer & Amber Riley ",2010-05-08,27,2,
The House That Built Me,Miranda Lambert ,2010-05-08,28,20,
Billionaire,Travie McCoy Featuring Bruno Mars ,2010-05-08,4,27,
Winner,Jamie Foxx Featuring Justin Timberlake & T .I. ,2010-05-08,28,11,
If We Ever Meet Again,Timbaland Featuring Katy Perry ,2010-05-08,37,18,
Not Myself Tonight,Christina Aguilera ,2010-05-08,23,8,
Rain Is A Good Thing,Luke Bryan ,2010-05-08,37,20,
I'm Awesome,Spose ,2010-05-08,37,9,
Pray For You,Jaron And The Long Road To Love ,2010-05-08,34,20,
Un-Thinkable (I'm Ready),Alicia Keys ,2010-05-08,21,20,
I'm Back,T.I. ,2010-05-08,44,15,
This Afternoon,Nickelback ,2010-05-08,34,20,
Hello Good Morning,Diddy - Dirty Money Featuring T.I. ,2010-05-08,27,20,
Roger That,Young Money ,2010-05-08,56,11,
Bet I,B.o.B Featuring T.I. & Playboy Tre ,2010-05-08,72,1,
I Never Told You,Colbie Caillat ,2010-05-08,48,20,
Borderline / Open Your Heart,Glee Cast Featuring Lea Michele & Cory Monteith ,2010-05-08,78,1,
Crazy Town,Jason Aldean ,2010-05-08,51,17,
I Gotta Get To You,George Strait ,2010-05-08,70,13,
She Won't Be Lonely Long,Clay Walker ,2010-05-08,53,18,
Water,Brad Paisley ,2010-05-08,42,19,
Wrong Baby Wrong,Martina McBride ,2010-05-08,74,15,
Like A Virgin,"Glee Cast Feat. Matthew Morrison, Jayma Mayes, Naya Rivera, Cory Monteith & Lea Michele ",2010-05-08,87,1,
Impossible,Shontelle ,2010-05-08,13,20,
4 Minutes,Glee Cast Featuring Chris Colfer & Amber Riley ,2010-05-08,89,1,
I Keep On Loving You,Reba ,2010-05-08,78,10,
Still,Tim McGraw ,2010-05-08,91,1,
Gives You Hell,Glee Cast Featuring Lea Michele ,2010-05-08,32,2,
Ride,Ciara Featuring Ludacris ,2010-05-08,42,20,
Kissin U,Miranda Cosgrove ,2010-05-08,54,15,
All I Ever Wanted,Kelly Clarkson ,2010-05-08,96,6,
Give Me A Sign (Forever And Ever),Breaking Benjamin ,2010-05-08,97,5,
Love King,The-Dream ,2010-05-08,92,3,
Hello,Glee Cast Featuring Jonathan Groff & Lea Michele ,2010-05-01,35,1,
Hello Goodbye,"Glee Cast Featuring Lea Michele, Cory Monteith & Amber Riley ",2010-05-01,49,1,
"Hello, I Love You",Glee Cast ,2010-05-01,66,1,
You And Your Heart,Jack Johnson ,2010-05-01,20,4,
Airplanes,B.o.B Featuring Eminem & Haley Williams ,2010-05-15,5,2,
One Less Bell To Answer / A House Is Not A Home,Glee Cast Featuring Kristin Chenoweth ,2010-05-15,53,1,
Beautiful,Glee Cast ,2010-05-15,61,1,
Rock That Body,The Black Eyed Peas ,2010-05-15,9,18,
Fire,Glee Cast Featuring Kristin Chenoweth ,2010-05-15,64,1,
Gypsy,Shakira ,2010-05-15,65,3,
A House Is Not A Home,Glee Cast ,2010-05-15,70,1,
Magic,B.o.B Featuring Rivers Cuomo ,2010-05-15,10,20,
Cooler Than Me,Mike Posner Featuring Big Sean ,2010-05-15,85,1,
"Lover, Lover",Jerrod Niemann ,2010-05-15,29,20,
Home,Glee Cast Featuring Kristin Chenoweth ,2010-05-15,90,1,
Halfway There,Big Time Rush ,2010-05-15,93,1,
Gettin' Over You,David Guetta & Chris Willis Featuring Fergie & LMFAO ,2010-05-15,31,20,
New Morning,Alpha Rev ,2010-05-15,100,1,
California Gurls,Katy Perry Featuring Snoop Dogg ,2010-05-29,1,27,
Airplanes,B.o.B Featuring Hayley Williams ,2010-05-29,2,26,
Not Afraid,Eminem ,2010-05-29,1,25,
Find Your Love,Drake ,2010-05-29,5,21,
My First Kiss,3OH!3 Featuring Ke$ha ,2010-05-29,9,18,
Jessie's Girl,Glee Cast ,2010-05-29,23,3,
Lose My Mind,Young Jeezy Featuring Plies ,2010-05-29,35,15,
Cooler Than Me,Mike Posner ,2010-05-29,6,28,
Pyramid,Charice Featuring Iyaz ,2010-05-29,56,2,
One,Glee Cast ,2010-05-29,60,1,
Total Eclipse Of The Heart,Glee Cast Featuring Jonathan Groff ,2010-05-29,16,2,
Undo It,Carrie Underwood ,2010-05-29,23,20,
The Boy Is Mine,Glee Cast ,2010-05-29,76,1,
Lady Is A Tramp,Glee Cast ,2010-05-29,81,1,
I'm Single,Lil Wayne ,2010-05-29,82,1,
I Like It,Enrique Iglesias Featuring Pitbull ,2010-05-29,4,38,
Love Like Crazy,Lee Brice ,2010-05-29,45,20,
Rose's Turn,Glee Cast ,2010-05-29,93,1,
Somebody To Love,Justin Bieber ,2010-05-29,15,15,
Fistful Of Tears,Maxwell ,2010-05-29,94,4,
Run Joey Run,Glee Cast Featuring Jonathan Groff ,2010-05-22,61,1,
Ice Ice Baby,Glee Cast ,2010-05-22,74,1,
Physical,Glee Cast Featuring Olivia Newton-John ,2010-05-22,89,1,
U Can't Touch This,Glee Cast ,2010-05-22,92,1,
All Or Nothing,Theory Of A Deadman ,2010-05-22,99,1,
Can't Be Tamed,Miley Cyrus ,2010-07-03,8,10,
Your Love,Nicki Minaj ,2010-07-03,14,20,
Dynamite,Taio Cruz ,2010-07-03,2,47,
Waka Waka (This Time For Africa),Shakira Featuring Freshlyground ,2010-07-03,38,18,
Free,Zac Brown Band ,2010-07-03,34,19,
Up All Night,Drake Featuring Nicki Minaj ,2010-07-03,49,2,
9 AM In Dallas,Drake ,2010-07-03,57,1,
Got Your Back,T.I. Featuring Keri Hilson ,2010-07-03,38,20,
Hey,Lil Jon Featuring 3OH!3 ,2010-07-03,62,2,
Miss Me,Drake Featuring Lil Wayne ,2010-07-03,15,20,
Beautiful Monster,Ne-Yo ,2010-07-03,53,9,
Never Say Never,Justin Bieber Featuring Jaden Smith ,2010-07-03,8,19,
Teach Me How To Dougie,Cali Swag District ,2010-07-03,28,20,
Pretty Good At Drinkin' Beer,Billy Currington ,2010-07-03,41,20,
Sex Room,Ludacris Featuring Trey Songz ,2010-07-03,69,11,
Shark In The Water,V V Brown ,2010-07-03,67,6,
Fireworks,Drake Featuring Alicia Keys ,2010-07-03,71,1,
The Only Exception,Paramore ,2010-07-03,24,20,
Half Of My Heart,John Mayer ,2010-07-03,25,20,
Glitter In The Air,Pink ,2010-07-03,18,18,
If It's Love,Train ,2010-07-03,34,20,
I'm In,Keith Urban ,2010-07-03,60,16,
Another Way To Die,Disturbed ,2010-07-03,81,1,
Little White Church,Little Big Town ,2010-07-03,59,20,
Hold You (Hold Yuh),Gyptian ,2010-07-03,77,15,
Animal,Neon Trees ,2010-07-03,13,36,
Double Vision,3OH!3 ,2010-07-03,87,4,
Pretty Boy Swag,Soulja Boy Tell'em ,2010-07-03,34,16,
143,Bobby Brackins Featuring Ray J ,2010-07-03,76,11,
Lay Me Down,The Dirty Heads Featuring Rome ,2010-07-03,93,8,
Our Kind Of Love,Lady Antebellum ,2010-07-03,51,20,
Finding My Way Back,Jaheim ,2010-07-03,95,1,
Farmer's Daughter,Rodney Atkins ,2010-07-03,47,21,
This Ain't Nothin',Craig Morgan ,2010-07-03,83,13,
All About Tonight,Blake Shelton ,2010-07-03,37,19,
Fancy,Drake Featuring T.I. & Swizz Beatz ,2010-07-03,25,20,
Love The Way You Lie,Eminem Featuring Rihanna ,2010-07-17,1,29,
Power,Kanye West Featuring Dwele ,2010-07-17,22,1,
Round & Round,Selena Gomez & The Scene ,2010-07-17,24,14,
King Of Anything,Sara Bareilles ,2010-07-17,32,22,
Misery,Maroon 5 ,2010-07-17,14,20,
Jar Of Hearts,Christina Perri ,2010-07-17,17,31,
Club Can't Handle Me,Flo Rida Featuring David Guetta ,2010-07-17,9,29,
No Love,Eminem Featuring Lil Wayne ,2010-07-17,23,20,
Secrets,OneRepublic ,2010-07-17,21,33,
Outta Your Mind,Lil Jon Featuring LMFAO ,2010-07-17,84,1,
If I Had You,Adam Lambert ,2010-07-17,30,20,
Deuces,Chris Brown Featuring Tyga & Kevin McCall ,2010-07-17,14,27,
We'll Be A Dream,WE the Kings Featuring Demi Lovato ,2010-07-17,76,6,
All Over Me,Josh Turner ,2010-07-17,59,18,
Cuando Me Enamoro,Enrique Iglesias Featuring Juan Luis Guerra ,2010-07-17,89,5,
I Can Do Anything,3OH!3 ,2010-07-17,100,1,
Won't Back Down,Eminem Featuring Pink ,2010-07-10,62,1,
Cold Wind Blows,Eminem ,2010-07-10,71,1,
Stay,Miley Cyrus ,2010-07-10,75,1,
Talkin' 2 Myself,Eminem Featuring Kobe ,2010-07-10,88,1,
25 To Life,Eminem ,2010-07-10,92,1,
POWER,Kanye West ,2010-07-24,29,15,
If I Die Young,The Band Perry ,2010-07-24,14,53,
Bittersweet,Fantasia ,2010-07-24,74,12,
B.M.F. (Blowin' Money Fast),Rick Ross Featuring Styles P ,2010-07-24,60,16,
Up On The Ridge,Dierks Bentley ,2010-07-24,99,1,
DJ Got Us Fallin' In Love,Usher Featuring Pitbull ,2010-08-07,4,34,
Teenage Dream,Katy Perry ,2010-08-07,1,33,
Just The Way You Are,Bruno Mars ,2010-08-07,1,48,
La La La,Auburn Featuring Iyaz ,2010-08-07,51,13,
Champagne Life,Ne-Yo ,2010-08-07,75,8,
Break My Bank,New Boyz Featuring Iyaz ,2010-08-07,68,11,
Come Back Song,Darius Rucker ,2010-08-07,37,20,
Ordinary Girl,Hannah Montana ,2010-08-07,91,2,
Love All Over Me,Monica ,2010-08-07,58,17,
Roll With It,Easton Corbin ,2010-08-07,55,19,
Aston Martin Music,Rick Ross Featuring Drake & Chrisette Michele ,2010-08-07,30,20,
Opposite Of Adults,Chiddy Bang ,2010-07-31,90,2,
Mockingbird,Rob Thomas ,2010-07-31,95,4,
Stuck Like Glue,Sugarland ,2010-08-14,17,24,
G.R.I.N.D. (Get Ready It's A New Day),Asher Roth ,2010-08-14,79,1,
Nightmare,Avenged Sevenfold ,2010-08-14,51,3,
The Boys of Fall,Kenny Chesney ,2010-08-14,18,18,
The Crow And The Butterfly,Shinedown ,2010-08-14,97,1,
Rockstar 101,Rihanna Featuring Slash ,2010-08-14,64,5,
Mine,Taylor Swift ,2010-08-21,3,23,
The Catalyst,Linkin Park ,2010-08-21,27,10,
Letting Go (Dutty Love),Sean Kingston Featuring Nicki Minaj ,2010-08-21,36,20,
"2012 (It Ain""t The End)",Jay Sean Featuring Nicki Minaj ,2010-08-21,50,2,
Not Like The Movies,Katy Perry ,2010-08-21,53,1,
September,Daughtry ,2010-08-21,36,20,
The Man Who Can't Be Moved,The Script ,2010-08-21,86,6,
Bottoms Up,Trey Songz Featuring Nicki Minaj ,2010-08-28,6,26,
Circle The Drain,Katy Perry ,2010-08-28,58,1,
As She's Walking Away,Zac Brown Band Featuring Alan Jackson ,2010-08-28,32,20,
Bed Intruder Song,Antoine Dodson & The Gregory Brothers Featuring Kelly Dodson ,2010-08-28,89,3,
Like A G6,Far*East Movement Featuring Cataracs & Dev ,2010-08-28,1,26,
Rhythm of Love,Plain White T's ,2010-08-28,38,21,
Love Like Woe,The Ready Set ,2010-08-28,27,21,
Little Lion Man,Mumford & Sons ,2010-08-28,45,22,
Hot Tottie,Usher Featuring Jay-Z ,2010-08-28,21,16,
Only Girl (In The World),Rihanna ,2010-10-02,1,27,
Just A Dream,Nelly ,2010-10-02,3,28,
Dog Days Are Over,Florence + The Machine ,2010-10-02,21,20,
Right Above It,Lil Wayne Featuring Drake ,2010-10-02,6,24,
F**k You (Forget You),Cee Lo Green ,2010-10-02,2,47,
Radioactive,Kings Of Leon ,2010-10-02,37,5,
2012 (It Ain't The End),Jay Sean Featuring Nicki Minaj ,2010-10-02,31,12,
No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale ,2010-10-02,13,32,
Check It Out,will.i.am & Nicki Minaj ,2010-10-02,24,15,
A Year Without Rain,Selena Gomez & The Scene ,2010-10-02,35,8,
My Kinda Party,Jason Aldean ,2010-10-02,39,20,
Holding You Down (Goin In Circles),Jazmine Sullivan ,2010-10-02,60,12,
Can't Be Friends,Trey Songz ,2010-10-02,43,20,
Why Wait,Rascal Flatts ,2010-10-02,48,20,
Erase Me,Kid Cudi Featuring Kanye West ,2010-10-02,22,5,
Toot It And Boot It,YG ,2010-10-02,67,11,
Anything Like Me,Brad Paisley ,2010-10-02,48,19,
Put You In A Song,Keith Urban ,2010-10-02,53,20,
We No Speak Americano,Yolanda Be Cool & Dcup ,2010-10-02,29,20,
The Breath You Take,George Strait ,2010-10-02,63,20,
Way Out Here,Josh Thompson ,2010-10-02,85,9,
Only Prettier,Miranda Lambert ,2010-10-02,61,19,
Somebody To Love,Justin Bieber Featuring Usher ,2010-10-02,71,3,
All I Want Is You,Miguel Featuring J. Cole ,2010-10-02,58,14,
Turn On The Radio,Reba ,2010-10-02,53,18,
U Smile,Justin Bieber ,2010-10-02,27,4,
Waiting For The End,Linkin Park ,2010-10-02,42,23,
Smoke A Little Smoke,Eric Church ,2010-10-02,78,20,
Trailerhood,Toby Keith ,2010-10-02,97,4,
Black And Yellow,Wiz Khalifa ,2010-10-02,1,25,
Empire State Of Mind,Glee Cast ,2010-10-09,21,2,
Telephone,Glee Cast ,2010-10-09,23,1,
Billionaire,Glee Cast ,2010-10-09,28,1,
Listen,Glee Cast ,2010-10-09,38,1,
What I Did For Love,Glee Cast ,2010-10-09,51,1,
Angel,Akon ,2010-10-09,56,10,
Stutter,Maroon 5 ,2010-10-09,84,1,
Shake,Jesse McCartney ,2010-10-09,54,12,
Loving You No More,Diddy - Dirty Money Featuring Drake ,2010-10-09,91,2,
Please Don't Go,Mike Posner ,2010-10-09,16,20,
Toxic,Glee Cast ,2010-10-16,16,1,
Gonorrhea,Lil Wayne Featuring Drake ,2010-10-16,17,3,
The Only Exception,Glee Cast ,2010-10-16,26,1,
What's Wrong With Them,Lil Wayne Featuring Nicki Minaj ,2010-10-16,42,1,
Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain ,2010-10-16,7,31,
I'm A Slave 4 U,Glee Cast ,2010-10-16,52,1,
Stronger,Glee Cast ,2010-10-16,53,1,
Baby One More Time,Glee Cast ,2010-10-16,54,1,
Me Against The Music,Glee Cast ,2010-10-16,56,1,
